search_term,area,date,search_intensity
excel,China,2018-08-08,27057
excel,China,2018-08-09,26410
excel,China,2018-08-10,25184
excel,China,2018-08-11,14222
excel,China,2018-08-12,11904
excel,China,2018-08-13,19027
excel,China,2018-08-14,24372
excel,China,2018-08-15,25459
excel,China,2018-08-16,25022
excel,China,2018-08-17,21663
excel,China,2018-08-18,13424
excel,China,2018-08-19,12361
excel,China,2018-08-20,25827
excel,China,2018-08-21,25757
excel,China,2018-08-22,30430
excel,China,2018-08-23,31000
excel,China,2018-08-24,29172
excel,China,2018-08-25,16273
excel,China,2018-08-26,14305
excel,China,2018-08-27,31908
excel,China,2018-08-28,32130
excel,China,2018-08-29,32463
excel,China,2018-08-30,34678
excel,China,2018-08-31,37173
excel,China,2018-09-01,24866
excel,China,2018-09-02,22481
excel,China,2018-09-03,42766
excel,China,2018-09-04,43273
excel,China,2018-09-05,43093
excel,China,2018-09-06,41161
excel,China,2018-09-07,33766
excel,China,2018-09-08,22318
excel,China,2018-09-09,19045
excel,China,2018-09-10,38316
excel,China,2018-09-11,40912
excel,China,2018-09-12,40657
excel,China,2018-09-13,40405
excel,China,2018-09-14,37790
excel,China,2018-09-15,24249
excel,China,2018-09-16,18821
excel,China,2018-09-17,38302
excel,China,2018-09-18,38603
excel,China,2018-09-19,37913
excel,China,2018-09-20,35055
excel,China,2018-09-21,30008
excel,China,2018-09-22,16557
excel,China,2018-09-23,13550
excel,China,2018-09-24,11999
excel,China,2018-09-25,34296
excel,China,2018-09-26,36603
excel,China,2018-09-27,34729
excel,China,2018-09-28,32647
excel,China,2018-09-29,31437
excel,China,2018-09-30,26595
excel,China,2018-10-01,12928
excel,China,2018-10-02,12408
excel,China,2018-10-03,11568
excel,China,2018-10-04,12858
excel,China,2018-10-05,13435
excel,China,2018-10-06,14838
excel,China,2018-10-07,16533
excel,China,2018-10-08,37391
excel,China,2018-10-09,39061
excel,China,2018-10-10,38228
excel,China,2018-10-11,37538
excel,China,2018-10-12,35143
excel,China,2018-10-13,20207
excel,China,2018-10-14,17457
excel,China,2018-10-15,38206
excel,China,2018-10-16,38087
excel,China,2018-10-17,36893
excel,China,2018-10-18,38659
excel,China,2018-10-19,35258
excel,China,2018-10-20,20056
excel,China,2018-10-21,19512
excel,China,2018-10-22,40241
excel,China,2018-10-23,40130
excel,China,2018-10-24,39637
excel,China,2018-10-25,40098
excel,China,2018-10-26,35327
excel,China,2018-10-27,21802
excel,China,2018-10-28,18676
excel,China,2018-10-29,37552
excel,China,2018-10-30,39557
excel,China,2018-10-31,39839
excel,China,2018-11-01,42796
excel,China,2018-11-02,39844
excel,China,2018-11-03,21935
excel,China,2018-11-04,19352
excel,China,2018-11-05,41294
excel,China,2018-11-06,41306
excel,China,2018-11-07,41116
excel,China,2018-11-08,39630
excel,China,2018-11-09,35815
excel,China,2018-11-10,19709
excel,China,2018-11-11,17041
excel,China,2018-11-12,40171
excel,China,2018-11-13,41407
excel,China,2018-11-14,40588
excel,China,2018-11-15,40978
excel,China,2018-11-16,32786
excel,China,2018-11-17,18425
excel,China,2018-11-18,16174
excel,China,2018-11-19,35941
excel,China,2018-11-20,38121
excel,China,2018-11-21,37821
excel,China,2018-11-22,36570
excel,China,2018-11-23,36079
excel,China,2018-11-24,14266
excel,China,2018-11-25,12447
excel,China,2018-11-26,29614
excel,China,2018-11-27,32252
excel,China,2018-11-28,30529
excel,China,2018-11-29,27604
excel,China,2018-11-30,26072
excel,China,2018-12-01,14842
excel,China,2018-12-02,12998
excel,China,2018-12-03,30185
excel,China,2018-12-04,29677
excel,China,2018-12-05,29269
excel,China,2018-12-06,28847
excel,China,2018-12-07,25533
excel,China,2018-12-08,13159
excel,China,2018-12-09,11261
excel,China,2018-12-10,26244
excel,China,2018-12-11,26183
excel,China,2018-12-12,24983
excel,China,2018-12-13,25763
excel,China,2018-12-14,24043
excel,China,2018-12-15,13094
excel,China,2018-12-16,11376
excel,China,2018-12-17,26026
excel,China,2018-12-18,26021
excel,China,2018-12-19,26444
excel,China,2018-12-20,26316
excel,China,2018-12-21,23561
excel,China,2018-12-22,12634
excel,China,2018-12-23,11465
excel,China,2018-12-24,25297
excel,China,2018-12-25,25497
excel,China,2018-12-26,27118
excel,China,2018-12-27,26711
excel,China,2018-12-28,25080
excel,China,2018-12-29,21218
excel,China,2018-12-30,10017
excel,China,2018-12-31,9294
excel,China,2019-01-01,9204
excel,China,2019-01-02,28859
excel,China,2019-01-03,29784
excel,China,2019-01-04,30147
excel,China,2019-01-05,16179
excel,China,2019-01-06,13389
excel,China,2019-01-07,30472
excel,China,2019-01-08,28984
excel,China,2019-01-09,29048
excel,China,2019-01-10,28988
excel,China,2019-01-11,26296
excel,China,2019-01-12,13484
excel,China,2019-01-13,11254
excel,China,2019-01-14,26226
excel,China,2019-01-15,25423
excel,China,2019-01-16,24336
excel,China,2019-01-17,23668
excel,China,2019-01-18,21955
excel,China,2019-01-19,12089
excel,China,2019-01-20,10039
excel,China,2019-01-21,22866
excel,China,2019-01-22,22095
excel,China,2019-01-23,30273
excel,China,2019-01-24,29641
excel,China,2019-01-25,27001
excel,China,2019-01-26,15504
excel,China,2019-01-27,13268
excel,China,2019-01-28,25701
excel,China,2019-01-29,23732
excel,China,2019-01-30,22795
excel,China,2019-01-31,20384
excel,China,2019-02-01,18030
excel,China,2019-02-02,12776
excel,China,2019-02-03,7709
excel,China,2019-02-04,3193
excel,China,2019-02-05,2931
excel,China,2019-02-06,3957
excel,China,2019-02-07,4461
excel,China,2019-02-08,4991
excel,China,2019-02-09,5367
excel,China,2019-02-10,6677
excel,China,2019-02-11,18400
excel,China,2019-02-12,24433
excel,China,2019-02-13,29131
excel,China,2019-02-14,29094
excel,China,2019-02-15,31702
excel,China,2019-02-16,19061
excel,China,2019-02-17,16746
excel,China,2019-02-18,35361
excel,China,2019-02-19,32794
excel,China,2019-02-20,37004
excel,China,2019-02-21,39457
excel,China,2019-02-22,37635
excel,China,2019-02-23,21806
excel,China,2019-02-24,19270
excel,China,2019-02-25,41993
excel,China,2019-02-26,42781
excel,China,2019-02-27,44288
excel,China,2019-02-28,44755
excel,China,2019-03-01,45634
excel,China,2019-03-02,27034
excel,China,2019-03-03,22747
excel,China,2019-03-04,47219
excel,China,2019-03-05,48351
excel,China,2019-03-06,47223
excel,China,2019-03-07,45646
excel,China,2019-03-08,36960
excel,China,2019-03-09,24679
excel,China,2019-03-10,21269
excel,China,2019-03-11,44806
excel,China,2019-03-12,45156
excel,China,2019-03-13,45038
excel,China,2019-03-14,44587
excel,China,2019-03-15,40137
excel,China,2019-03-16,22910
excel,China,2019-03-17,20494
excel,China,2019-03-18,43774
excel,China,2019-03-19,45273
excel,China,2019-03-20,44930
excel,China,2019-03-21,43692
excel,China,2019-03-22,40820
excel,China,2019-03-23,24198
excel,China,2019-03-24,21585
excel,China,2019-03-25,45243
excel,China,2019-03-26,45848
excel,China,2019-03-27,47274
excel,China,2019-03-28,48249
excel,China,2019-03-29,45173
excel,China,2019-03-30,30410
excel,China,2019-03-31,25338
excel,China,2019-04-01,51115
excel,China,2019-04-02,50411
excel,China,2019-04-03,47607
excel,China,2019-04-04,40600
excel,China,2019-04-05,15521
excel,China,2019-04-06,14724
excel,China,2019-04-07,16929
excel,China,2019-04-08,37035
excel,China,2019-04-09,38643
excel,China,2019-04-10,37912
excel,China,2019-04-11,37468
excel,China,2019-04-12,34820
excel,China,2019-04-13,19522
excel,China,2019-04-14,17276
excel,China,2019-04-15,34441
excel,China,2019-04-16,34242
excel,China,2019-04-17,34553
excel,China,2019-04-18,35090
excel,China,2019-04-19,31825
excel,China,2019-04-20,20204
excel,China,2019-04-21,17428
excel,China,2019-04-22,36261
excel,China,2019-04-23,34303
excel,China,2019-04-24,33850
excel,China,2019-04-25,33966
excel,China,2019-04-26,32162
excel,China,2019-04-27,10430
excel,China,2019-04-28,32904
excel,China,2019-04-29,34329
excel,China,2019-04-30,30155
excel,China,2019-05-01,13470
excel,China,2019-05-02,13849
excel,China,2019-05-03,14717
excel,China,2019-05-04,17008
excel,China,2019-05-05,35007
excel,China,2019-05-06,37360
